postid,postyear,postdate,en_title,en_pageid,ar,ar_pageid,ar_title,zh,zh_pageid,zh_title,es,es_pageid,es_title,topic,category,updated_topic
43,2011,3-Apr,Zhuchengtyrannus,31344403,TRUE,2990343,زوكينجتيرانيوس,TRUE,2814571,諸城暴龍屬,TRUE,4586424,Zhuchengtyrannus,-1,None,6
46,2011,30-May,2011 Monaco Grand Prix,28687508,FALSE,,,TRUE,1583269,2011年摩纳哥大奖赛,TRUE,4279060,Anexo:Gran Premio de Mónaco de 2011,2,None,4
47,2011,30-May,Nuclear power in Germany,8870938,FALSE,,,TRUE,3395520,德國的核能發電,TRUE,5491620,Energía nuclear en Alemania,-1,None,6
50,2011,29-May,2011 Monaco Grand Prix,28687508,FALSE,,,TRUE,1583269,2011年摩纳哥大奖赛,TRUE,4279060,Anexo:Gran Premio de Mónaco de 2011,2,None,4
51,2011,29-May,2011 Indianapolis 500,27530183,TRUE,2980444,إنديانابوليس 500 سنة 2011,FALSE,,,FALSE,,,2,Sports,4
53,2011,28-May,2011 UEFA Champions League Final,17401191,TRUE,1023186,نهائي دوري أبطال أوروبا 2011,TRUE,1127989,2011年歐洲冠軍聯賽決賽,TRUE,4481492,Final de la Liga de Campeones de la UEFA 2010-11,2,Sports,4
57,2011,22-May,2011 Cannes Film Festival,30268846,FALSE,,,TRUE,1580767,第64届戛纳电影节,TRUE,4585067,Anexo:Festival de Cannes 2011,5,Art and culture,2
58,2011,22-May,"Cypriot legislative election, 2011",30279615,FALSE,,,FALSE,,,TRUE,4645595,Elecciones parlamentarias de Chipre de 2011,1,Society and social science,3
60,2011,21-May,Grímsvötn,690778,TRUE,1061712,جريمسفونت,TRUE,1580998,格里姆火山,TRUE,317383,Grímsvötn,-1,Geography and place,6
65,2011,16-May,STS-134,18089765,TRUE,1060752,STS-134,TRUE,1577354,STS-134,TRUE,4412366,STS-134,-1,Science and nature,6
66,2011,15-May,2011 IIHF World Championship,17830097,FALSE,,,FALSE,,,TRUE,4567423,Campeonato Mundial de Hockey sobre Hielo Masculino de 2011,2,Sports,4
68,2011,15-May,Dominique Strauss-Kahn,1669496,TRUE,231656,دومينيك ستراوس كان,TRUE,631941,多米尼克·斯特劳斯-卡恩,TRUE,779937,Dominique Strauss-Kahn,6,Person,1
69,2011,14-May,Eurovision Song Contest 2011,22798056,FALSE,,,TRUE,1292641,2011年歐洲歌唱大賽,TRUE,3846344,Festival de la Canción de Eurovisión 2011,-1,Art and culture,6
73,2011,7-May,2010–11 Serie A,27107717,TRUE,1034525,الدوري الإيطالي الدرجة الأولى 2010–11,TRUE,1404071,2010年至2011年意大利足球甲級聯賽,TRUE,3388499,Serie A (Italia) 2010-11,2,Sports,4
76,2011,7-May,"Singaporean general election, 2011",20741383,FALSE,,,TRUE,1571458,2011年新加坡大选,TRUE,8596015,Elecciones generales de Singapur de 2011,1,Society and social science,3
79,2011,5-May,Claude Choules,10049216,FALSE,,,TRUE,1570376,克勞德·喬勒斯,FALSE,,,5,Person,2
80,2011,2-May,"Canadian federal election, 2011",19769307,FALSE,,,TRUE,1547320,2011年加拿大联邦大选,TRUE,4612930,Elecciones federales de Canadá de 2011,1,Society and social science,3
81,2011,2-May,2011 World Snooker Championship,27212249,FALSE,,,TRUE,1555458,2011年斯诺克世界锦标赛,FALSE,,,2,Sports,4
84,2011,30-Jun,Jiaozhou Bay Bridge,30372477,TRUE,990211,جسر هايوان كوينغداو,TRUE,1604555,青岛胶州湾大桥,TRUE,4713986,Puente de la bahía de Qingdao,2,Other,4
89,2011,28-Jun,Christine Lagarde,9103381,TRUE,1086583,كريستين لاغارد,TRUE,1578250,克里斯蒂娜·拉加德,TRUE,4621568,Christine Lagarde,5,Person,2
90,2011,27-Jun,Muammar Gaddafi,53029,TRUE,760226,معمر القذافي,TRUE,24225,穆阿迈尔·卡扎菲,TRUE,4921398,Muamar el Gadafi,2,Person,4
91,2011,25-Jun,Same-sex marriage in New York,1507828,FALSE,,,TRUE,1591157,紐約州同性婚姻,TRUE,4702014,Matrimonio entre personas del mismo sexo en Nueva York,6,None,1
92,2011,24-Jun,Mario Draghi,3557692,TRUE,2533182,ماريو دراجي,TRUE,1599271,馬里奧·德拉吉,TRUE,2600923,Mario Draghi,5,Person,2
94,2011,23-Jun,Peter Falk,23725,TRUE,1997436,بيتر فالك,TRUE,1602867,彼得·福克,TRUE,969701,Peter Falk,5,Person,2
95,2011,23-Jun,AirAsia,285974,TRUE,1147200,طيران آسيا,TRUE,488807,亞洲航空,TRUE,1852363,AirAsia,-1,Society and social science,6
100,2011,22-Jun,Ai Weiwei,8572928,TRUE,1289510,آي ويوي,TRUE,884813,艾未未,TRUE,4290342,Ai Weiwei,2,Person,4
101,2011,20-Jun,Zine El Abidine Ben Ali,390745,TRUE,524564,زين العابدين بن علي,TRUE,657523,宰因·阿比丁·本·阿里,TRUE,150467,Zine El Abidine Ben Ali,5,Person,2
103,2011,20-Jun,Generic top-level domain,1007311,FALSE,,,TRUE,290213,通用頂級域,TRUE,59844,Dominio de nivel superior genérico,-1,None,6
107,2011,16-Jun,Colum McCann,8397335,FALSE,,,TRUE,3680470,科拉姆·麦卡恩,FALSE,,,2,Person,4
108,2011,16-Jun,Ayman al-Zawahiri,319799,TRUE,2758,أيمن الظواهري,TRUE,1572172,艾曼·扎瓦希里,TRUE,38222,Aymán al Zawahirí,0,Person,5
111,2011,13-Jun,65th Tony Awards,29552896,FALSE,,,TRUE,2763975,第65届托尼奖颁奖典礼,TRUE,5153931,Anexo:Premios Tony de 2011,-1,Art and culture,6
112,2011,12-Jun,"Turkish general election, 2011",28819205,FALSE,,,TRUE,5417123,2011年土耳其大选,TRUE,4670596,Elecciones generales de Turquía de 2011,4,Society and social science,3
115,2011,9-Jun,Electronic Entertainment Expo 2011,27748317,FALSE,,,FALSE,,,TRUE,4664003,Electronic Entertainment Expo 2011,-1,Society and social science,6
117,2011,7-Jun,Soyuz TMA-02M,22032764,FALSE,,,TRUE,1590200,联盟TMA-02M,TRUE,4779803,Soyuz TMA-02M,-1,Science and nature,6
119,2011,5-Jun,"Macedonian parliamentary election, 2011",31218810,FALSE,,,FALSE,,,TRUE,4663420,Elecciones parlamentarias de Macedonia de 2011,4,Society and social science,3
120,2011,5-Jun,2011 Israeli border demonstrations,32000410,TRUE,1029404,مظاهرات الحدود الإسرائيلية 2011,FALSE,,,FALSE,,,0,Other,5
125,2011,2-Jun,Halicephalobus mephisto,31954395,FALSE,,,TRUE,3220174,恶魔蠕虫,TRUE,4661638,Halicephalobus mephisto,6,None,1
127,2011,30-Jul,U2 360° Tour,21844820,FALSE,,,FALSE,,,TRUE,2354261,U2 360° Tour,2,None,4
129,2011,28-Jul,Ollanta Humala,5099278,TRUE,1101234,أويانتا هومالا,TRUE,1594433,奥良塔·乌马拉,TRUE,245606,Ollanta Humala,6,Person,1
130,2011,27-Jul,2010 TK7,32553446,TRUE,1101564,2010 TK7,TRUE,1623767,2010 TK7,TRUE,4772416,2010 TK7,-1,Science and nature,6
132,2011,24-Jul,2011 Tour de France,25999087,TRUE,1333402,سباق طواف فرنسا 2011,TRUE,1611688,2011年环法自行车赛,TRUE,4098223,Tour de Francia 2011,2,Sports,4
133,2011,24-Jul,Cadel Evans,805877,TRUE,2639250,كاديل إفانز,TRUE,1071432,卡德尔·埃文斯,TRUE,160360,Cadel Evans,2,Person,4
136,2011,20-Jul,Yao Ming,240989,TRUE,1002232,ياو مينغ,TRUE,10813,姚明,TRUE,277244,Yao Ming,5,Person,2
137,2011,20-Jul,Goran Hadžić,5617427,TRUE,3225112,غوران هادزيتش,TRUE,1618774,戈兰·哈季奇,TRUE,1804587,Goran Hadžić,5,Person,2
139,2011,17-Jul,News International phone hacking scandal,26370879,TRUE,1091257,قضية تجسس نيوز أوف ذه ورلد على الهواتف,TRUE,1619806,世界新闻报电话窃听丑闻,FALSE,,,2,None,4
140,2011,17-Jul,2011 FIFA Women's World Cup,2360043,TRUE,681553,كأس العالم للسيدات 2011,TRUE,652280,2011年國際足協女子世界盃,TRUE,725927,Copa Mundial Femenina de Fútbol de 2011,2,Sports,4
143,2011,17-Jul,Harry Potter and the Deathly Hallows – Part 2,31941988,TRUE,1095856,هاري بوتر ومقدسات الموت – الجزء 2 (فيلم),TRUE,3090936,哈利·波特与死亡圣器（下）,TRUE,4752419,Harry Potter y las Reliquias de la Muerte: parte 2,2,Art and culture,4
145,2011,16-Jul,Dawn (spacecraft),532434,TRUE,511708,داون (مسبار فضائي),TRUE,687734,曙光號,TRUE,901887,Dawn (sonda espacial),6,Science and nature,1
146,2011,15-Jul,News International phone hacking scandal,26370879,TRUE,1091257,قضية تجسس نيوز أوف ذه ورلد على الهواتف,TRUE,1619806,世界新闻报电话窃听丑闻,FALSE,,,2,None,4
147,2011,15-Jul,Rebekah Brooks,1391765,FALSE,,,TRUE,1617389,利百加·布鲁克斯,TRUE,297843,Rebekah Brooks,2,Person,4
148,2011,14-Jul,Ansonia latidisca,12358126,FALSE,,,TRUE,1615868,指盘涧蟾,TRUE,2094973,Ansonia latidisca,6,None,1
153,2011,8-Jul,STS-135,20517541,TRUE,3434732,STS-135,TRUE,1609498,STS-135,TRUE,4294148,STS-135,-1,Science and nature,6
154,2011,8-Jul,South Sudan,32350676,TRUE,342661,جنوب السودان,TRUE,797786,南蘇丹,TRUE,185096,Sudán del Sur,4,Other,3
157,2011,3-Jul,Petra Kvitová,15977102,TRUE,2402597,بيترا كفيتوفا,TRUE,1320068,佩特拉·克維托娃,TRUE,2241440,Petra Kvitová,2,Person,4
158,2011,3-Jul,Novak Djokovic,16100029,TRUE,238261,نوفاك دجوكوفيتش,TRUE,519056,諾瓦克·喬科維奇,TRUE,462216,Novak Đoković,2,Person,4
159,2011,2-Jul,Itamar Franco,365451,TRUE,1131467,إيتامار فرانكو,TRUE,1353015,伊塔馬爾·佛朗哥,TRUE,281304,Itamar Franco,5,Person,2
161,2011,29-Aug,Yoshihiko Noda,13660794,TRUE,1118806,يوشيهيكو نودا,TRUE,1649359,野田佳彥,TRUE,4648543,Yoshihiko Noda,4,Person,3
162,2011,27-Aug,2011 Indian anti-corruption movement,31429006,FALSE,,,FALSE,,,TRUE,4808522,Movimiento anticorrupción de India de 2011,0,Other,5
163,2011,27-Aug,"Singaporean presidential election, 2011",31596775,FALSE,,,TRUE,1633163,2011年新加坡總統選舉,TRUE,4828690,Elecciones presidenciales de Singapur de 2011,1,Society and social science,3
164,2011,26-Aug,Naoto Kan,365175,TRUE,875681,ناوتو كان,TRUE,282348,菅直人,TRUE,45808,Naoto Kan,4,Person,3
165,2011,26-Aug,Hayabusa,574332,TRUE,2390594,هايابوسا,TRUE,106890,隼鸟号,TRUE,193007,Hayabusa (sonda espacial),-1,Science and nature,6
166,2011,26-Aug,25143 Itokawa,592203,TRUE,1938068,إيتوكاوا 25143,TRUE,188483,小行星25143,TRUE,192975,(25143) Itokawa,-1,Science and nature,6
169,2011,24-Aug,Steve Jobs,7412236,TRUE,2588,ستيف جوبز,TRUE,19521,史蒂夫·乔布斯,TRUE,15318,Steve Jobs,4,Person,3
171,2011,23-Aug,2011 Virginia earthquake,32844266,FALSE,,,FALSE,,,TRUE,4820332,Terremoto de Virginia de 2011,3,Science and nature,1
178,2011,14-Aug,Shammi Kapoor,603988,TRUE,804289,شامي كابور,FALSE,,,TRUE,4308970,Shammi Kapoor,5,Person,2
179,2011,14-Aug,Keegan Bradley,31525692,FALSE,,,TRUE,1923573,基岡·布拉德利,FALSE,,,2,Person,4
182,2011,11-Aug,Polycotylus,20065184,FALSE,,,TRUE,931991,雙臼椎龍屬,TRUE,5038621,Polycotylus,6,None,1
183,2011,11-Aug,Samsung Galaxy Tab 10.1,31403571,TRUE,1091088,سامسونج جالكسي تاب 10.1,TRUE,1871820,三星Galaxy Tab 10.1,FALSE,,,2,Other,4
188,2011,5-Aug,Juno (spacecraft),1978851,TRUE,1102321,جونو (مسبار فضائي),TRUE,113209,朱诺号,TRUE,997398,Juno (sonda espacial),-1,Science and nature,6
193,2011,25-Sep,Mark Cavendish,4442738,TRUE,2834288,مارك كافنديش,TRUE,1283786,马克·卡文迪什,TRUE,987023,Mark Cavendish,2,Person,4
196,2011,25-Sep,Patrick Makau Musyoki,21639770,FALSE,,,TRUE,1679876,帕特里克·马卡乌·穆斯约基,TRUE,5795272,Patrick Makau Musyoki,6,Person,1
197,2011,23-Sep,"Zambian general election, 2011 ‎",28974574,FALSE,,,FALSE,,,TRUE,6177068,Elecciones generales de Zambia de 2011,1,Society and social science,3
198,2011,22-Sep,OPERA experiment,19649158,TRUE,2123745,تجربة أوبيرا,TRUE,1674903,OPERA (實驗),TRUE,4869665,OPERA (experimento),-1,None,6
199,2011,22-Sep,Troy Davis,12408126,FALSE,,,TRUE,1772069,特洛伊·戴維思,TRUE,4868979,Troy Davis,5,Person,2
202,2011,18-Sep,"Latvian parliamentary election, 2011",32525972,FALSE,,,TRUE,1848457,2011年拉脫維亞議會選舉,FALSE,,,1,Society and social science,3
205,2011,10-Sep,Alexander Sokurov,2560865,FALSE,,,TRUE,598197,亚历山大·索科洛夫,TRUE,438751,Aleksandr Sokúrov,2,Person,4
208,2011,6-Sep,Swiss franc,361362,TRUE,818148,فرنك سويسري,TRUE,97509,瑞士法郎,TRUE,65089,Franco suizo,2,Society and social science,4
210,2011,4-Sep,2011 World Championships in Athletics,4073750,TRUE,915185,بطولة العالم لألعاب القوى 2011,TRUE,1610108,2011年世界田徑錦標賽,TRUE,2824272,Campeonato Mundial de Atletismo de 2011,2,Sports,4
212,2011,2-Sep,United States diplomatic cables leak,29787741,TRUE,966460,تسرب البرقيات الدبلوماسية للولايات المتحدة الأمريكية,TRUE,1473414,维基解密泄露美国外交电报事件,TRUE,4332004,Filtración de documentos diplomáticos de los Estados Unidos,-1,None,6
213,2011,2-Sep,Israel–Turkey relations,7311009,TRUE,1079426,العلاقات الإسرائيلية التركية,FALSE,,,FALSE,,,6,Society and social science,1
214,2011,30-Oct,Qantas,25254,TRUE,515649,كانتاس,TRUE,210951,澳洲航空,TRUE,146473,Qantas,0,Society and social science,5
215,2011,28-Oct,"Irish presidential election, 2011",15684434,FALSE,,,FALSE,,,TRUE,7908645,Elecciones presidenciales de Irlanda de 2011,5,Society and social science,2
216,2011,28-Oct,Michael D. Higgins,559753,TRUE,2456122,مايكل دانييل هيجينز,TRUE,1712878,麥克·希金斯,TRUE,4921348,Michael D. Higgins,5,Person,2
217,2011,27-Oct,"Tunisian Constituent Assembly election, 2011",31071064,TRUE,2369999,انتخابات المجلس الوطني التأسيسي التونسي 2011,FALSE,,,TRUE,5427555,Elecciones a la Asamblea Constituyente de Túnez de 2011,4,Society and social science,3
218,2011,27-Oct,Renaissance Party,37543643,TRUE,457895,حركة النهضة (توضيح),FALSE,,,FALSE,,,4,None,3
220,2011,23-Oct,Marco Simoncelli,14084208,TRUE,1155996,ماركو سيمونسيلي,TRUE,1709828,马尔科·西蒙切利,TRUE,1825547,Marco Simoncelli,5,Person,2
222,2011,18-Oct,Julian Barnes,209892,TRUE,3646052,جوليان بارنز,TRUE,412029,朱利安·巴恩斯,TRUE,123568,Julian Barnes,2,Person,4
223,2011,15-Oct,Lord's Resistance Army,17873743,TRUE,1259911,جيش الرب للمقاومة,TRUE,596966,圣主抵抗军,TRUE,224530,Ejército de Resistencia del Señor,2,Society and social science,4
224,2011,13-Oct,Wedding of Jigme Khesar Namgyel Wangchuck and Jetsun Pema,33285239,FALSE,,,TRUE,1697888,吉格梅·凯萨尔·纳姆耶尔·旺楚克和吉增·佩玛的婚礼,FALSE,,,2,Society and social science,4
225,2011,13-Oct,Raj Rajaratnam,21605110,FALSE,,,TRUE,1152745,拉杰·拉贾拉特南,FALSE,,,5,Person,2
226,2011,13-Oct,Dennis Ritchie,8218,TRUE,64097,دينيس ريتشي,TRUE,308885,丹尼斯·里奇,TRUE,12316,Dennis Ritchie,5,Person,2
228,2011,11-Oct,"Slovak parliamentary election, 2012",33393920,FALSE,,,TRUE,5162768,2012年斯洛伐克國會選舉,TRUE,6022659,Elecciones parlamentarias de Eslovaquia de 2012,1,Society and social science,3
230,2011,11-Oct,Yulia Tymoshenko,1246843,TRUE,774394,يوليا تيموشينكو,TRUE,124423,尤莉婭·弗拉基米羅芙娜·季莫申科,TRUE,117278,Yulia Timoshenko,4,Person,3
231,2011,10-Oct,"Polish parliamentary election, 2011",30171239,FALSE,,,TRUE,1807365,2011年波蘭議會選舉,TRUE,5189569,Elecciones generales de Polonia de 2011,4,Society and social science,3
232,2011,10-Oct,Thomas J. Sargent,1608557,TRUE,1145461,توماس ج سارجنت,TRUE,908214,托瑪斯·薩金特,TRUE,4894079,Thomas J. Sargent,2,Person,4
233,2011,10-Oct,Christopher A. Sims,6029715,TRUE,1145569,كريستوفر ا سيمز,TRUE,1692152,克里斯托弗·西姆斯,TRUE,4893859,Christopher A. Sims,2,Person,4
234,2011,9-Oct,Dexia,3032511,FALSE,,,TRUE,957844,德克夏銀行,TRUE,4402445,Dexia,-1,Society and social science,6
236,2011,9-Oct,Sebastian Vettel,6437759,TRUE,863988,سباستيان فيتل,TRUE,564394,賽巴斯蒂安·維泰爾,TRUE,593617,Sebastian Vettel,2,Person,4
238,2011,7-Oct,Ellen Johnson Sirleaf,2642141,TRUE,618712,إلين جونسون سيرليف,TRUE,182688,埃伦·约翰逊·瑟利夫,TRUE,228775,Ellen Johnson-Sirleaf,2,Person,4
239,2011,7-Oct,Leymah Gbowee,28418433,TRUE,1143278,ليما غبوي,TRUE,1688281,莱伊曼·古博薇,TRUE,4535057,Leymah Gbowee,2,Person,4
240,2011,6-Oct,Nobel Prize in Literature,23385442,TRUE,2953192,جائزة نوبل في الأدب,TRUE,10739,诺贝尔文学奖,TRUE,4039,Premio Nobel de Literatura,2,Art and culture,4
243,2011,4-Oct,2011 Mogadishu bombing,33301035,FALSE,,,FALSE,,,TRUE,7264894,Atentado de Mogadiscio de 2011,0,Other,5
244,2011,4-Oct,GLONASS,46149,TRUE,1142369,غلوناس,TRUE,204490,格洛纳斯系统,TRUE,93561,GLONASS,-1,Science and nature,6
245,2011,4-Oct,Nobel Prize in Physics,52497,TRUE,47639,جائزة نوبل في الفيزياء,TRUE,9651,诺贝尔物理学奖,FALSE,,,2,Art and culture,4
248,2011,1-Oct,Occupy_Wall_Street,33121168,TRUE,1140518,احتلوا وول ستريت,TRUE,1675415,佔領華爾街,TRUE,4860381,Occupy Wall Street,0,Other,5
250,2011,29-Nov,Laurent Gbagbo,147237,TRUE,5569,لوران غباغبو,TRUE,320036,洛朗·巴博,TRUE,81771,Laurent Gbagbo,6,Person,1
251,2011,19-Nov,Metallic microlattice,33796928,FALSE,,,TRUE,5067816,微晶格金屬,TRUE,6216732,Microrretícula metálica,2,None,4
252,2011,18-Nov,National League for Democracy,410553,TRUE,3212204,الرابطة الوطنية من أجل الديموقراطية,TRUE,319696,全國民主聯盟,TRUE,1199849,Liga Nacional para la Democracia,2,Society and social science,4
254,2011,16-Nov,Nuclear program of Iran,721807,TRUE,49309,برنامج إيران النووي,TRUE,268043,伊朗核问题,TRUE,531093,Programa nuclear de Irán,-1,None,6
255,2011,16-Nov,International Atomic Energy Agency,14984,TRUE,38990,الوكالة الدولية للطاقة الذرية,TRUE,170051,国际原子能机构,TRUE,33414,Organismo Internacional de Energía Atómica,-1,Society and social science,6
256,2011,16-Nov,Soyuz TMA-22,23873742,FALSE,,,TRUE,1736919,联盟TMA-22,TRUE,4754708,Soyuz TMA-22,-1,Science and nature,6
257,2011,10-Nov,Lucas Papademos,2807634,TRUE,1167510,لوكاس باباديموس,TRUE,1727401,卢卡斯·帕帕季莫斯,TRUE,686618,Lukás Papadimos,4,Person,3
259,2011,9-Nov,Joe Paterno,582973,FALSE,,,FALSE,,,TRUE,327676,Joe Paterno,5,Person,2
262,2011,31-Dec,Sudanese nomadic conflicts,23013592,FALSE,,,TRUE,3493683,蘇丹游牧民族衝突,TRUE,5023867,Conflictos tribales sudaneses,0,None,5
264,2011,30-Dec,Portia Simpson-Miller,4204672,FALSE,,,TRUE,451568,波蒂亚·辛普森-米勒,TRUE,959534,Portia Simpson-Miller,1,Person,3
265,2011,29-Dec,International Date Line,318580,TRUE,1138867,خط التاريخ الدولي,TRUE,155717,国际日期变更线,TRUE,11614,Línea internacional de cambio de fecha,-1,None,6
266,2011,29-Dec,Kim Jong-un,5962511,TRUE,1077094,كم جونغ أون,TRUE,1004107,金正恩,TRUE,2543709,Kim Jong-un,4,Person,3
269,2011,23-Dec,2011 Damascus bombings,34165593,TRUE,1600045,تفجيرات دمشق 2011,TRUE,1775051,2011年大马士革炸弹袭击事件,FALSE,,,0,Other,5
270,2011,21-Dec,Soyuz TMA-03M,23873831,FALSE,,,FALSE,,,TRUE,5002756,Soyuz TMA-03M,-1,Science and nature,6
273,2011,18-Dec,2011 FIFA Club World Cup Final,34055429,TRUE,1192153,نهائي كأس العالم للأندية 2011,TRUE,1767773,2011年世界冠軍球會盃決賽,TRUE,4990118,Final de la Copa Mundial de Clubes de la FIFA 2011,2,Sports,4
277,2011,15-Dec,Iraq War,5043324,TRUE,575802,حرب العراق,TRUE,624,伊拉克战争,TRUE,1672175,Guerra de Irak,0,Society and social science,5
278,2011,15-Dec,Jacques Chirac,39764,TRUE,6620,جاك شيراك,TRUE,47024,雅克·希拉克,TRUE,5470,Jacques Chirac,5,Person,2
279,2011,12-Dec,Moncef Marzouki,30505888,TRUE,179793,المنصف المرزوقي,TRUE,1762358,蒙瑟夫·馬佐基,TRUE,4989087,Moncef Marzouki,5,Person,2
280,2011,11-Dec,2011 United Nations Climate Change Conference,30820783,FALSE,,,TRUE,1752113,2011年联合国气候变化大会,FALSE,,,6,Other,1
282,2011,4-Dec,"Russian legislative election, 2011",30279957,FALSE,,,TRUE,1755482,2011年俄罗斯国家杜马选举,TRUE,4974326,Elecciones legislativas de Rusia de 2011,1,Society and social science,3
290,2012,13-Jan,"Kiribati presidential election, 2012",30279774,FALSE,,,TRUE,1801266,2012年吉里巴斯總統選舉,FALSE,,,5,Society and social science,2
291,2012,13-Jan,Rauf Denktaş,354975,TRUE,12507,رؤوف دنكطاش,TRUE,1799648,拉乌夫·登克塔什,TRUE,465590,Rauf Denktash,5,Person,2
293,2012,6-Jan,January 2012 al-Midan bombing,34301494,TRUE,4393208,تفجير الميدان في يناير 2012,FALSE,,,FALSE,,,0,Other,5
295,2012,3-Jan,Christopher Loeak,34265505,FALSE,,,FALSE,,,TRUE,5522774,Christopher Loeak,1,Person,3
296,2012,3-Jan,Murder of Stephen Lawrence,356772,TRUE,1774815,قضية مقتل ستيفن لورانس,FALSE,,,FALSE,,,0,Person,5
297,2012,1-Jan,"United Nations Security Council election, 2011",29613710,FALSE,,,FALSE,,,TRUE,4598272,Elecciones del Consejo de Seguridad de las Naciones Unidas de 2011,1,Society and social science,3
298,2012,26-Feb,84th Academy Awards,23576558,TRUE,1419066,حفل توزيع جوائز الأوسكار الرابع والثمانون,TRUE,1807109,第84屆奧斯卡金像獎,TRUE,3379324,Anexo:84.º Premios Óscar,2,Art and culture,4
300,2012,21-Feb,Silene stenophylla,34822338,FALSE,,,FALSE,,,TRUE,5093267,Silene stenophylla,6,Geography and place,1
302,2012,19-Feb,Caesar Must Die,34339932,FALSE,,,TRUE,1840233,凱撒必須死：舞台重生,TRUE,5854772,César debe morir,5,Art and culture,2
303,2012,16-Feb,Christian Wulff,852096,TRUE,887782,كريستيان فولف,TRUE,1317205,克里斯蒂安·武尔夫,TRUE,3894414,Christian Wulff,4,Person,3
304,2012,15-Feb,Comayagua prison fire,34747567,FALSE,,,TRUE,1836493,科马亚瓜监狱大火,TRUE,5081734,Incendio en la granja penal de Comayagua,0,Other,5
