postid,lang,postyear,postdatetime,pageid,article_firstedit_ever_revid,article_firstedit_ever_date,article_firstedit_ever_timestamp,article_firstedit_ever_size,totaledits_byall,totaledits_byregistered,unique_all_editors,unique_registered_editors,total_size_added,sizeadded_byregistered,firstedit_revid,firstedit_timestamp,endfirstday_revid,endfirstweek_revid,firstmonth_revid,topic,category,updated_topic
11,en,2011,4/27/11,7171184,78010440,9/27/06,2006-09-27T00:25:10Z,615,62,38,34,17,4843,4108,426218843,4/27/11 15:12,426280917,427185451,429825001,5,Person,2
11,ar,2011,4/27/11,4542942,29365392,7/14/18,2018-07-14T19:30:51Z,2413,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
11,zh,2011,4/27/11,1017171,9684303,3/30/09,2009-03-30T16:07:41Z,993,8,8,5,4,400,400,16381186,4/28/11 21:37,16381186,16407360,16407360,5,Person,2
11,es,2011,4/27/11,4682049,47177578,6/15/11,2011-06-15T13:03:40Z,1203,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
12,en,2011,4/27/11,24093,274774,9/23/01,2001-09-23T17:26:53Z,202,27,25,18,16,2088,2038,426296591,4/27/11 23:52,426297508,427421944,430556955,6,Society and social science,1
12,ar,2011,4/27/11,2486,11840,4/28/04,2004-04-28T11:40:06Z,641,1,1,1,0,0,0,6835441,5/17/11 17:17,6835441,6835441,6835441,6,Society and social science,1
12,zh,2011,4/27/11,52579,207534,11/14/04,2004-11-14T04:00:06Z,418,1,1,1,0,0,0,16535748,5/17/11 17:18,16535748,16535748,16535748,6,Society and social science,1
12,es,2011,4/27/11,30015,89619,1/29/04,2004-01-29T19:50:28Z,337,2,2,2,1,142,142,46445924,5/17/11 17:18,46445924,46497098,46497098,6,Society and social science,1
15,en,2011,4/23/11,18501416,226634408,7/19/08,2008-07-19T14:26:50Z,7319,148,90,48,27,8914,93042,425442500,4/23/11 3:24,425540435,426614941,429692154,4,Society and social science,3
15,zh,2011,4/23/11,1620720,17182824,7/23/11,2011-07-23T11:37:34Z,5331,0,0,0,0,0,0,0,0,0,0,0,4,Society and social science,3
15,es,2011,4/23/11,1637601,17047580,5/1/08,2008-05-01T23:32:05Z,10158,6,6,4,3,116,116,45871072,4/24/11 18:20,45871072,45886222,46460399,4,Society and social science,3
18,en,2011,4/20/11,30999052,415787821,2/25/11,2011-02-25T01:06:29Z,1359,477,412,92,52,30456,29443,424946141,4/20/11 0:35,425083704,426103901,430080026,0,Society and social science,5
18,ar,2011,4/20/11,1020003,6466933,3/3/11,2011-03-03T13:26:37Z,675,10,10,4,3,5624,5624,6717990,4/22/11 3:36,6719010,6739674,6765625,0,Society and social science,5
18,zh,2011,4/20/11,1692156,17999704,10/10/11,2011-10-10T14:20:43Z,11679,0,0,0,0,0,0,0,0,0,0,0,0,Society and social science,5
18,es,2011,4/20/11,4536546,44913325,3/18/11,2011-03-18T12:20:22Z,3930,17,12,8,5,671,-439,45814746,4/22/11 10:13,45814746,45914104,46475686,0,Society and social science,5
20,en,2011,4/19/11,38301,7545,2/9/02,2002-02-09T06:43:47Z,3431,76,76,31,30,4915,4915,424827237,4/19/11 8:58,424926379,425560622,429908774,4,Person,3
20,ar,2011,4/19/11,4302,13294,10/6/04,2004-10-06T17:20:18Z,1109,3,3,3,2,46,46,6700694,4/19/11 9:02,6700694,6700694,6824816,4,Person,3
20,zh,2011,4/19/11,39565,132592,8/13/04,2004-08-13T10:02:00Z,116,13,7,9,6,294,232,16301889,4/19/11 9:00,16301889,16350761,16509725,4,Person,3
20,es,2011,4/19/11,143948,73278,12/18/03,2003-12-18T19:29:27Z,14,41,41,11,10,2922,2922,45736604,4/19/11 8:58,45745158,45854260,46476490,4,Person,3
21,en,2011,4/17/11,25844590,338459406,1/18/10,2010-01-18T00:06:46Z,225,336,264,45,34,46750,28343,424496783,4/17/11 8:54,424602051,425522698,429645635,1,Society and social science,3
21,ar,2011,4/17/11,1137813,7537181,9/29/11,2011-09-29T16:06:02Z,1159,0,0,0,0,0,0,0,0,0,0,0,1,Society and social science,3
21,zh,2011,4/17/11,1797089,18940523,1/15/12,2012-01-15T15:16:53Z,90826,0,0,0,0,0,0,0,0,0,0,0,1,Society and social science,3
21,es,2011,4/17/11,4589133,45686229,4/17/11,2011-04-17T12:08:37Z,4645,55,55,7,6,4709,4709,45686229,4/17/11 12:08,45700165,45806261,45806261,1,Society and social science,3
22,en,2011,4/16/11,1492447,10153193,2/11/05,2005-02-11T03:50:12Z,66,51,32,32,19,3289,589,424362020,4/16/11 13:15,424415395,425396304,429002055,4,Society and social science,3
22,ar,2011,4/16/11,125337,501985,1/21/07,2007-01-21T13:43:38Z,1173,23,18,12,7,1564,457,6673664,4/16/11 12:58,6675467,6699849,6829686,4,Society and social science,3
22,zh,2011,4/16/11,130419,806673,7/11/05,2005-07-11T04:32:39Z,145,12,10,10,8,645,675,16279158,4/16/11 16:00,16279158,16313977,16339344,4,Society and social science,3
22,es,2011,4/16/11,1779735,18752228,7/13/08,2008-07-13T00:07:49Z,765,8,7,7,6,553,486,45666656,4/16/11 16:00,45666656,45807639,45946457,4,Society and social science,3
25,en,2011,4/13/11,51884,69494,5/11/02,2002-05-11T09:21:16Z,629,23,23,10,9,6619,6619,423815748,4/13/11 6:46,423816025,424555752,425903180,5,Person,2
25,ar,2011,4/13/11,2393,5816,4/23/04,2004-04-23T04:19:38Z,204,62,30,39,10,-307,-1034,6660939,4/13/11 6:38,6664067,6697003,6821276,5,Person,2
25,zh,2011,4/13/11,130418,806670,7/11/05,2005-07-11T04:31:18Z,370,12,10,7,5,3405,3469,16289471,4/17/11 17:57,16289471,16330648,16348923,5,Person,2
25,es,2011,4/13/11,181873,1208833,8/25/05,2005-08-25T08:58:39Z,2559,5,3,5,3,0,21,45590855,4/13/11 7:27,45590855,45742536,46284685,5,Person,2
27,en,2011,4/11/11,147237,459796,11/14/02,2002-11-14T19:07:58Z,268,146,101,89,52,3859,1857,423450266,4/11/11 3:17,423600484,424531287,428254058,5,Person,2
27,ar,2011,4/11/11,5569,17018,12/17/04,2004-12-17T10:25:20Z,1166,10,9,6,5,208,159,6653234,4/11/11 18:17,6653234,6675866,6675866,5,Person,2
27,zh,2011,4/11/11,320036,2195584,7/3/06,2006-07-03T06:20:43Z,306,12,12,6,5,419,419,16237697,4/11/11 17:44,16237848,16269873,16269873,5,Person,2
27,es,2011,4/11/11,81771,335943,11/8/04,2004-11-08T12:27:28Z,1853,25,14,16,7,1169,437,45543257,4/11/11 13:41,45557330,45641465,45973637,5,Person,2
30,en,2011,4/9/11,364646,1720619,11/12/03,2003-11-12T16:53:13Z,240,241,201,85,56,16925,57471,423182523,4/9/11 15:04,423247417,424305992,428034125,5,Person,2
30,ar,2011,4/9/11,937261,5848978,10/6/10,2010-10-06T00:51:35Z,917,38,37,5,4,9297,9297,6645683,4/9/11 18:00,6646102,6660704,6798994,5,Person,2
30,zh,2011,4/9/11,712110,6302083,2/22/08,2008-02-22T03:04:51Z,1770,13,11,9,8,537,530,16218670,4/9/11 15:13,16220913,16267472,16456960,5,Person,2
30,es,2011,4/9/11,69327,267339,9/24/04,2004-09-24T19:14:48Z,2870,29,25,14,11,-451,-497,45489831,4/9/11 15:32,45501348,45660243,46221057,5,Person,2
31,en,2011,4/9/11,31445634,423171368,4/9/11,2011-04-09T13:27:29Z,377,241,199,94,61,10415,8779,423171368,4/9/11 13:27,423249253,424219353,426349562,0,Other,5
31,ar,2011,4/9/11,1040352,6656581,4/12/11,2011-04-12T07:30:52Z,3253,9,9,7,6,2689,2689,6656581,4/12/11 7:30,6658749,6661344,6661344,0,Other,5
31,es,2011,4/9/11,4578190,45514722,4/10/11,2011-04-10T13:15:30Z,7224,19,18,11,10,-2989,-2989,45514722,4/10/11 13:15,45521615,45660404,45998277,0,Other,5
33,en,2011,4/7/11,8572928,96045086,12/23/06,2006-12-23T04:10:17Z,1360,198,155,87,54,11390,8689,422791301,4/7/11 1:56,422894037,423946070,427947208,5,Person,2
33,ar,2011,4/7/11,1289510,8553290,5/11/12,2012-05-11T12:52:20Z,1808,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
33,zh,2011,4/7/11,884813,8006629,9/3/08,2008-09-03T18:25:36Z,2869,123,105,49,37,4130,3405,16198422,4/7/11 5:25,16203173,16249272,16433472,5,Person,2
33,es,2011,4/7/11,4290342,41562250,11/5/10,2010-11-05T22:36:40Z,2006,14,10,11,7,1000,343,45434732,4/7/11 13:23,45441138,45565864,46090974,5,Person,2
34,en,2011,4/7/11,31427533,422858678,4/7/11,2011-04-07T13:51:36Z,280,325,244,102,63,22071,6012,422858678,4/7/11 13:51,422938958,423957070,426412452,0,Other,5
34,ar,2011,4/7/11,1038204,6639136,4/8/11,2011-04-08T02:17:56Z,5597,17,16,9,8,605,605,6639136,4/8/11 2:17,6642572,6650665,6650665,0,Other,5
34,es,2011,4/7/11,4574451,45454152,4/8/11,2011-04-08T04:31:39Z,6568,73,64,23,16,8446,9201,45454152,4/8/11 4:31,45472461,45557579,46134928,0,Other,5
36,en,2011,4/6/11,31418294,422699013,4/6/11,2011-04-06T14:31:37Z,950,60,49,28,20,3360,5462,422699013,4/6/11 14:31,422757695,423172504,426824293,0,None,5
36,zh,2011,4/6/11,5946984,46861608,11/5/17,2017-11-05T19:52:43Z,4246,0,0,0,0,0,0,0,0,0,0,0,0,None,5
37,en,2011,4/5/11,30950046,414959410,2/20/11,2011-02-20T15:21:50Z,554,50,44,27,22,3678,3704,422548588,4/5/11 17:47,422551480,423025900,423025900,1,Society and social science,3
37,es,2011,4/5/11,4800369,48898633,8/13/11,2011-08-13T15:27:09Z,1799,0,0,0,0,0,0,0,0,0,0,0,1,Society and social science,3
40,en,2011,4/4/11,31387099,422330918,4/4/11,2011-04-04T15:34:03Z,475,140,118,39,31,11628,9006,422330918,4/4/11 15:34,422402182,423223666,425471704,0,Society and social science,5
40,ar,2011,4/4/11,3098582,18713015,3/7/16,2016-03-07T16:43:09Z,5615,0,0,0,0,0,0,0,0,0,0,0,0,Society and social science,5
40,es,2011,4/4/11,4571127,45402035,4/6/11,2011-04-06T07:19:48Z,9921,11,8,7,5,12,14,45402035,4/6/11 7:19,45416383,45459154,45889267,0,Society and social science,5
42,en,2011,4/3/11,23042123,293692071,6/1/09,2009-06-01T10:17:11Z,165,273,201,129,77,4712,-7328,422205567,4/3/11 21:17,422220296,423386574,427318971,0,Other,5
42,ar,2011,4/3/11,602372,3321069,6/1/09,2009-06-01T15:56:31Z,2922,1,1,1,0,0,0,6639095,4/8/11 1:52,6639095,6639095,6639095,0,Other,5
42,zh,2011,4/3/11,1060624,10210727,6/1/09,2009-06-01T11:08:08Z,1188,16,12,11,7,1225,935,16174700,4/4/11 12:31,16174788,16204772,16419342,0,Other,5
42,es,2011,4/3/11,2540616,26841672,6/1/09,2009-06-01T14:24:31Z,876,10,7,7,4,1226,910,45357802,4/4/11 16:48,45357802,45451988,46109315,0,Other,5
43,en,2011,4/3/11,31344403,421538987,3/30/11,2011-03-30T20:25:30Z,172,53,45,35,27,2311,2095,422060398,4/3/11 0:02,422180572,423185565,424712515,-1,None,6
43,ar,2011,4/3/11,2990343,17690127,12/10/15,2015-12-10T05:55:47Z,2948,0,0,0,0,0,0,0,0,0,0,0,-1,None,6
43,zh,2011,4/3/11,2814571,21264247,5/18/12,2012-05-18T18:02:44Z,2762,0,0,0,0,0,0,0,0,0,0,0,-1,None,6
43,es,2011,4/3/11,4586424,45644175,4/15/11,2011-04-15T15:50:53Z,3940,7,6,6,5,85,82,45644175,4/15/11 15:50,45644269,45757087,45757087,-1,None,6
46,en,2011,5/30/11,28687508,382682610,9/3/10,2010-09-03T15:03:19Z,37,83,63,40,27,4599,3722,431582761,5/30/11 2:16,431694015,432642332,436830164,2,None,4
46,zh,2011,5/30/11,1583269,16630365,5/28/11,2011-05-28T15:11:00Z,1254,9,9,3,2,396,396,16642476,5/30/11 6:59,16644160,16658313,16754898,2,None,4
46,es,2011,5/30/11,4279060,41409163,10/30/10,2010-10-30T22:37:16Z,1150,9,6,7,4,515,424,46737830,5/30/11 0:04,46757264,46793432,47090193,2,None,4
47,en,2011,5/30/11,8870938,99996090,1/11/07,2007-01-11T14:47:52Z,7089,128,104,50,35,6419,6191,431621373,5/30/11 9:00,431723641,432811781,436868028,-1,None,6
47,zh,2011,5/30/11,3395520,25945412,3/26/13,2013-03-26T16:42:06Z,406,0,0,0,0,0,0,0,0,0,0,0,-1,None,6
47,es,2011,5/30/11,5491620,61403818,11/15/12,2012-11-15T22:27:00Z,25345,0,0,0,0,0,0,0,0,0,0,0,-1,None,6
50,en,2011,5/29/11,28687508,382682610,9/3/10,2010-09-03T15:03:19Z,37,145,100,56,35,11479,9792,431415233,5/29/11 0:51,431562321,432529141,436159001,2,None,4
50,zh,2011,5/29/11,1583269,16630365,5/28/11,2011-05-28T15:11:00Z,1254,18,18,5,4,4981,4981,16633066,5/29/11 1:00,16639198,16658313,16754898,2,None,4
50,es,2011,5/29/11,4279060,41409163,10/30/10,2010-10-30T22:37:16Z,1150,35,21,13,8,4654,3551,46713756,5/29/11 0:56,46735716,46793432,47090193,2,None,4
51,en,2011,5/29/11,27530183,364912584,5/29/10,2010-05-29T21:01:48Z,1044,109,87,46,29,20148,18913,431500163,5/29/11 15:40,431566725,432570789,436255763,2,Sports,4
51,ar,2011,5/29/11,2980444,17641776,12/3/15,2015-12-03T12:49:22Z,2732,0,0,0,0,0,0,0,0,0,0,0,2,Sports,4
53,en,2011,5/28/11,17401191,212071481,5/13/08,2008-05-13T09:17:17Z,1058,174,160,75,63,12711,12641,431314388,5/28/11 10:05,431409428,432273553,436081724,2,Sports,4
53,ar,2011,5/28/11,1023186,6489230,3/9/11,2011-03-09T18:35:34Z,1274,56,53,13,10,18007,17763,6879962,5/28/11 13:32,6881251,6913283,6944491,2,Sports,4
53,zh,2011,5/28/11,1127989,11156764,9/15/09,2009-09-15T07:24:59Z,787,62,62,8,7,8553,8553,16628483,5/28/11 11:34,16632262,16650497,16710803,2,Sports,4
53,es,2011,5/28/11,4481492,44199119,2/18/11,2011-02-18T19:25:22Z,4183,58,31,28,18,1188,-649,46700750,5/28/11 15:54,46710619,46880638,47397150,2,Sports,4
57,en,2011,5/22/11,30268846,405306140,1/1/11,2011-01-01T11:07:27Z,1017,52,35,29,20,3515,2210,430320315,5/22/11 9:19,430410330,431363936,433845737,5,Art and culture,2
57,zh,2011,5/22/11,1580767,16589268,5/24/11,2011-05-24T03:15:28Z,2862,20,20,6,5,4408,4408,16589268,5/24/11 3:15,16594642,16618988,16618988,5,Art and culture,2
57,es,2011,5/22/11,4585067,45622752,4/14/11,2011-04-14T16:43:04Z,2267,4,4,4,3,75,75,46595205,5/24/11 3:20,46598268,46616027,46856622,5,Art and culture,2
58,en,2011,5/22/11,30279615,405499475,1/2/11,2011-01-02T14:33:50Z,304,78,71,25,19,4930,4874,430276989,5/22/11 0:46,430422000,431286982,431706005,1,Society and social science,3
58,es,2011,5/22/11,4645595,46596649,5/24/11,2011-05-24T05:35:25Z,5089,13,13,4,3,270,270,46596649,5/24/11 5:35,46599441,46599441,46599441,1,Society and social science,3
60,en,2011,5/21/11,690778,3777761,5/30/04,2004-05-30T07:09:55Z,805,251,216,109,77,10879,12898,430239239,5/21/11 19:37,430269958,431322268,434224076,-1,Geography and place,6
60,ar,2011,5/21/11,1061712,6853206,5/22/11,2011-05-22T09:00:08Z,796,29,29,11,10,259,259,6853206,5/22/11 9:00,6856424,6871210,6900027,-1,Geography and place,6
60,zh,2011,5/21/11,1580998,16593234,5/24/11,2011-05-24T11:36:58Z,1926,18,18,9,8,2961,2961,16593234,5/24/11 11:36,16596806,16608555,16663700,-1,Geography and place,6
60,es,2011,5/21/11,317383,2511329,3/8/06,2006-03-08T06:20:24Z,5309,54,48,22,19,4407,4119,46550264,5/22/11 9:06,46564938,46667973,46931868,-1,Geography and place,6
65,en,2011,5/16/11,18089765,221172073,6/23/08,2008-06-23T10:24:17Z,2578,390,300,87,55,40032,33686,429349385,5/16/11 6:09,429472675,430444169,434477270,-1,Science and nature,6
65,ar,2011,5/16/11,1060752,6845236,5/20/11,2011-05-20T11:41:04Z,1489,45,45,3,2,7558,7558,6845236,5/20/11 11:41,6845757,6849996,6966416,-1,Science and nature,6
65,zh,2011,5/16/11,1577354,16537919,5/18/11,2011-05-18T03:00:52Z,4606,9,9,7,6,128,128,16537919,5/18/11 3:00,16539827,16564905,16788310,-1,Science and nature,6
65,es,2011,5/16/11,4412366,43261522,1/15/11,2011-01-15T15:46:56Z,5183,15,12,12,9,737,634,46424311,5/16/11 18:18,46429212,46548786,47183489,-1,Science and nature,6
66,en,2011,5/15/11,17830097,217829537,6/7/08,2008-06-07T21:49:01Z,185,98,66,44,24,5616,5235,429178363,5/15/11 3:32,429306156,429849076,433269740,2,Sports,4
66,es,2011,5/15/11,4567423,45347158,4/4/11,2011-04-04T04:05:45Z,380,5,5,2,1,460,460,46398693,5/15/11 16:45,46405882,46405882,46405882,2,Sports,4
68,en,2011,5/15/11,1669496,11684738,3/30/05,2005-03-30T11:50:18Z,240,1029,911,321,246,14571,39747,429158353,5/15/11 0:04,429313617,430266810,433753899,6,Person,1
68,ar,2011,5/15/11,231656,1028083,9/29/07,2007-09-29T07:22:59Z,359,49,45,14,11,2592,2193,6826458,5/15/11 7:57,6828646,6853011,6924037,6,Person,1
68,zh,2011,5/15/11,631941,5231230,9/29/07,2007-09-29T14:41:15Z,1325,37,33,17,14,1589,1348,16514774,5/15/11 7:56,16520286,16573553,16640312,6,Person,1
68,es,2011,5/15/11,779937,7180026,2/23/07,2007-02-23T17:28:34Z,473,213,182,55,34,54924,59165,46391986,5/15/11 7:57,46405273,46549599,47110973,6,Person,1
69,en,2011,5/14/11,22798056,289849974,5/14/09,2009-05-14T10:06:18Z,37,305,305,146,145,46759,46759,429007642,5/14/11 0:28,429156928,430116279,434050632,-1,Art and culture,6
69,zh,2011,5/14/11,1292641,13357673,6/7/10,2010-06-07T12:00:29Z,9783,23,22,10,9,11002,10993,16509192,5/14/11 16:36,16511166,16548773,16579278,-1,Art and culture,6
69,es,2011,5/14/11,3846344,37492303,5/28/10,2010-05-28T18:50:14Z,2868,237,97,87,24,7729,445,46366312,5/14/11 4:16,46385326,46521820,46953152,-1,Art and culture,6
73,en,2011,5/7/11,27107717,358259719,4/25/10,2010-04-25T19:39:10Z,4262,195,114,80,31,-3372,-9441,427946887,5/7/11 17:58,427980563,428865162,432493644,2,Sports,4
73,ar,2011,5/7/11,1034525,6597527,3/31/11,2011-03-31T20:42:13Z,697,6,6,3,2,148,148,6800241,5/8/11 12:57,6800241,6800241,6877750,2,Sports,4
73,zh,2011,5/7/11,1404071,14282876,9/5/10,2010-09-05T07:03:03Z,955,10,10,4,3,226,226,16454524,5/7/11 22:00,16454537,16460007,16622396,2,Sports,4
73,es,2011,5/7/11,3388499,34180120,2/19/10,2010-02-19T23:09:03Z,44,132,79,28,14,1331,1423,46207244,5/7/11 17:31,46213638,46349443,46738745,2,Sports,4
76,en,2011,5/7/11,20741383,258539343,12/17/08,2008-12-17T09:02:05Z,7332,304,231,75,40,37437,38469,427850874,5/7/11 3:14,427990513,428922446,432789786,1,Society and social science,3
76,zh,2011,5/7/11,1571458,16450688,5/7/11,2011-05-07T11:26:16Z,1292,61,59,17,15,12791,12791,16450688,5/7/11 11:26,16453849,16498085,16613985,1,Society and social science,3
76,es,2011,5/7/11,8596015,109688842,8/2/18,2018-08-02T02:55:02Z,33936,0,0,0,0,0,0,0,0,0,0,0,1,Society and social science,3
79,en,2011,5/5/11,10049216,115040685,3/14/07,2007-03-14T12:36:39Z,678,194,115,124,78,6554,10199,427507824,5/5/11 1:55,427666459,428596780,432311313,5,Person,2
79,zh,2011,5/5/11,1570376,16435984,5/5/11,2011-05-05T14:26:16Z,656,35,31,17,13,2224,2188,16435984,5/5/11 14:26,16437787,16478880,16647832,5,Person,2
80,en,2011,5/2/11,19769307,245146769,10/14/08,2008-10-14T03:26:13Z,2284,561,448,179,96,25224,115967,426976998,5/2/11 0:03,427154839,428152813,432039832,1,Society and social science,3
80,zh,2011,5/2/11,1547320,16100926,3/26/11,2011-03-26T20:58:52Z,6943,21,21,6,5,20181,20181,16410591,5/2/11 12:21,16413861,16449916,16629608,1,Society and social science,3
80,es,2011,5/2/11,4612930,46070310,5/2/11,2011-05-02T12:19:53Z,4385,77,66,15,10,4393,4288,46070310,5/2/11 12:19,46084729,46209308,46698130,1,Society and social science,3
81,en,2011,5/2/11,27212249,359960313,5/4/10,2010-05-04T00:30:37Z,3283,114,98,36,25,5453,3009,426981498,5/2/11 0:37,427148878,427884054,430064466,2,Sports,4
81,zh,2011,5/2/11,1555458,16214748,4/9/11,2011-04-09T06:26:20Z,23925,11,11,2,1,1212,1212,16407708,5/2/11 4:51,16413597,16434688,16434688,2,Sports,4
84,en,2011,6/30/11,30372477,406751936,1/8/11,2011-01-08T21:38:06Z,757,82,68,51,39,3774,2843,436995949,6/30/11 5:58,437135324,438168868,441405544,2,Other,4
84,ar,2011,6/30/11,990211,6244375,1/9/11,2011-01-09T19:32:16Z,2367,15,15,7,6,279,279,7043161,6/30/11 21:36,7043161,7069870,7141410,2,Other,4
84,zh,2011,6/30/11,1604555,16962522,7/2/11,2011-07-02T05:47:10Z,2818,25,24,13,12,2331,1641,16962522,7/2/11 5:47,16968252,17014123,17147413,2,Other,4
84,es,2011,6/30/11,4713986,47594560,6/30/11,2011-06-30T21:27:03Z,3583,22,19,13,10,524,528,47594560,6/30/11 21:27,47596757,47754904,47890467,2,Other,4
89,en,2011,6/28/11,9103381,103079942,1/25/07,2007-01-25T05:03:18Z,2586,222,156,100,53,9490,8593,436705010,6/28/11 17:22,436761694,437894397,441793450,5,Person,2
89,ar,2011,6/28/11,1086583,7049209,7/2/11,2011-07-02T11:22:50Z,6398,14,14,5,4,504,504,7049209,7/2/11 11:22,7050083,7070897,7100288,5,Person,2
89,zh,2011,6/28/11,1578250,16552481,5/19/11,2011-05-19T21:24:28Z,6938,48,48,13,12,2572,2572,16927345,6/28/11 18:53,16928654,16996607,17195903,5,Person,2
89,es,2011,6/28/11,4621568,46223343,5/8/11,2011-05-08T09:58:49Z,562,50,39,23,17,16156,15517,47534886,6/28/11 17:57,47543747,47709102,48152792,5,Person,2
90,en,2011,6/27/11,53029,75941,5/23/02,2002-05-23T01:14:56Z,8491,249,242,69,63,4993,-6959,436491083,6/27/11 12:29,436580478,437632297,441737986,2,Person,4
90,ar,2011,6/27/11,760226,5815,4/23/04,2004-04-23T03:57:46Z,113,10,7,7,5,127,76,7065950,7/6/11 5:30,7065950,7097466,7168849,2,Person,4
90,zh,2011,6/27/11,24225,83818,5/2/04,2004-05-02T00:23:09Z,40,4,4,4,3,-29,-29,17097065,7/15/11 2:09,17097710,17167549,17185041,2,Person,4
90,es,2011,6/27/11,4921398,102948,2/26/04,2004-02-26T21:59:21Z,443,11,8,9,6,0,-50,47510814,6/27/11 20:21,47510991,47510991,48212871,2,Person,4
91,en,2011,6/25/11,1507828,10280739,2/15/05,2005-02-15T06:28:24Z,1340,141,91,81,43,7488,7456,436064639,6/25/11 0:09,436225587,437187103,441225902,6,None,1
91,zh,2011,6/25/11,1591157,16740804,6/10/11,2011-06-10T22:36:24Z,644,8,8,4,3,2415,2415,16889698,6/25/11 3:49,16895527,16917394,17140539,6,None,1
91,es,2011,6/25/11,4702014,47442992,6/25/11,2011-06-25T03:48:03Z,4334,33,28,14,11,5747,5623,47442992,6/25/11 3:48,47461903,47509702,48000994,6,None,1
92,en,2011,6/24/11,3557692,33113521,12/29/05,2005-12-29T11:50:27Z,92,86,58,49,29,4498,4016,435940271,6/24/11 7:53,436005434,436956087,440477795,5,Person,2
92,ar,2011,6/24/11,2533182,15197790,3/16/15,2015-03-16T14:11:59Z,1026,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
92,zh,2011,6/24/11,1599271,16885355,6/24/11,2011-06-24T15:02:36Z,2833,16,14,9,8,12,-61,16885355,6/24/11 15:02,16885712,16916344,17154719,5,Person,2
92,es,2011,6/24/11,2600923,27465519,6/23/09,2009-06-23T05:58:41Z,4848,10,9,8,7,1342,655,47426772,6/24/11 14:58,47429103,47540989,48108091,5,Person,2
94,en,2011,6/23/11,23725,274235,8/9/01,2001-08-09T12:45:10Z,445,382,242,187,104,8918,7177,435733267,6/23/11 0:57,435733267,436949453,440879360,5,Person,2
94,ar,2011,6/23/11,1997436,12815436,4/2/14,2014-04-02T03:09:21Z,1332,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
94,zh,2011,6/23/11,1602867,16939715,6/29/11,2011-06-29T23:44:11Z,8489,14,14,4,3,1618,1618,16939715,6/29/11 23:44,16939715,16967248,17166734,5,Person,2
94,es,2011,6/23/11,969701,9072139,5/27/07,2007-05-27T10:42:39Z,9076,50,41,26,18,1730,1578,47430801,6/24/11 17:42,47438599,47580016,47580016,5,Person,2
95,en,2011,6/23/11,285974,1784857,8/1/03,2003-08-01T15:27:47Z,294,77,55,42,24,-4414,-4366,435782226,6/23/11 8:59,435869772,437003768,440624911,-1,Society and social science,6
95,ar,2011,6/23/11,1147200,7599244,10/12/11,2011-10-12T19:33:00Z,7837,0,0,0,0,0,0,0,0,0,0,0,-1,Society and social science,6
95,zh,2011,6/23/11,488807,3472057,2/7/07,2007-02-07T18:09:36Z,38,10,6,9,5,82,98,16877851,6/24/11 0:13,16886368,16916649,17085180,-1,Society and social science,6
